Algorithm,N,Type,Domain,Sample,Time_us,Memory_KB
MergeSort,1000,aleatorio,D1,b,108,0
PatienceSort,1000,aleatorio,D1,b,272,0
QuickSort,1000,aleatorio,D1,b,80,0
StdSort,1000,aleatorio,D1,b,42,0
MergeSort,1000,aleatorio,D1,c,109,0
PatienceSort,1000,aleatorio,D1,c,289,0
QuickSort,1000,aleatorio,D1,c,84,0
StdSort,1000,aleatorio,D1,c,35,0
MergeSort,1000,aleatorio,D7,a,129,0
PatienceSort,1000,aleatorio,D7,a,140,0
QuickSort,1000,aleatorio,D7,a,79,0
StdSort,1000,aleatorio,D7,a,60,0
MergeSort,1000,aleatorio,D7,b,134,0
PatienceSort,1000,aleatorio,D7,b,157,0
QuickSort,1000,aleatorio,D7,b,70,0
StdSort,1000,aleatorio,D7,b,61,0
MergeSort,1000,aleatorio,D7,c,129,0
PatienceSort,1000,aleatorio,D7,c,142,0
QuickSort,1000,aleatorio,D7,c,72,0
StdSort,1000,aleatorio,D7,c,62,0
MergeSort,100000,ascendente,D1,a,6493,260
PatienceSort,100000,ascendente,D1,a,28669654,128
QuickSort,100000,ascendente,D1,a,258016,0
StdSort,100000,ascendente,D1,a,977,0
MergeSort,100000,ascendente,D1,b,6560,388
PatienceSort,100000,ascendente,D1,b,28278481,0
QuickSort,100000,ascendente,D1,b,257288,0
StdSort,100000,ascendente,D1,b,1066,0
MergeSort,100000,ascendente,D1,c,6528,260
PatienceSort,100000,ascendente,D1,c,26335315,0
QuickSort,100000,ascendente,D1,c,256550,0
StdSort,100000,ascendente,D1,c,987,0
MergeSort,100000,ascendente,D7,a,6476,260
PatienceSort,100000,ascendente,D7,a,26687983,0
QuickSort,100000,ascendente,D7,a,3994897,4620
StdSort,100000,ascendente,D7,a,1350,0
MergeSort,100000,ascendente,D7,b,6437,260
PatienceSort,100000,ascendente,D7,b,26566944,0
QuickSort,100000,ascendente,D7,b,3971554,0
StdSort,100000,ascendente,D7,b,1351,0
MergeSort,100000,ascendente,D7,c,6466,260
PatienceSort,100000,ascendente,D7,c,25884150,0
QuickSort,100000,ascendente,D7,c,4158773,0
StdSort,100000,ascendente,D7,c,1086,0
MergeSort,100000,descendente,D1,a,6561,260
PatienceSort,100000,descendente,D1,a,1914353,1472
QuickSort,100000,descendente,D1,a,270626,0
StdSort,100000,descendente,D1,a,991,0
MergeSort,100000,descendente,D1,b,6435,8
PatienceSort,100000,descendente,D1,b,1911794,116
QuickSort,100000,descendente,D1,b,258451,0
StdSort,100000,descendente,D1,b,978,0
MergeSort,100000,descendente,D1,c,6469,0
PatienceSort,100000,descendente,D1,c,1845613,0
QuickSort,100000,descendente,D1,c,256663,0
StdSort,100000,descendente,D1,c,992,0
MergeSort,100000,descendente,D7,a,6806,0
PatienceSort,100000,descendente,D7,a,1325,0
QuickSort,100000,descendente,D7,a,3342563,0
StdSort,100000,descendente,D7,a,791,0
MergeSort,100000,descendente,D7,b,7094,0
PatienceSort,100000,descendente,D7,b,1263,0
QuickSort,100000,descendente,D7,b,3444865,0
StdSort,100000,descendente,D7,b,808,0
MergeSort,100000,descendente,D7,c,6697,0
PatienceSort,100000,descendente,D7,c,1324,0
QuickSort,100000,descendente,D7,c,3286643,0
StdSort,100000,descendente,D7,c,804,0
MergeSort,100000,aleatorio,D1,a,11481,0
PatienceSort,100000,aleatorio,D1,a,1935723,4
QuickSort,100000,aleatorio,D1,a,258445,0
StdSort,100000,aleatorio,D1,a,3230,0
MergeSort,100000,aleatorio,D1,b,10844,0
PatienceSort,100000,aleatorio,D1,b,2030039,48
QuickSort,100000,aleatorio,D1,b,259883,0
StdSort,100000,aleatorio,D1,b,3041,0
MergeSort,100000,aleatorio,D1,c,10871,0
PatienceSort,100000,aleatorio,D1,c,1953853,4
QuickSort,100000,aleatorio,D1,c,271297,0
StdSort,100000,aleatorio,D1,c,3194,0
MergeSort,100000,aleatorio,D7,a,18058,0
PatienceSort,100000,aleatorio,D7,a,100854,0
QuickSort,100000,aleatorio,D7,a,10770,0
StdSort,100000,aleatorio,D7,a,9146,0
MergeSort,100000,aleatorio,D7,b,18195,0
PatienceSort,100000,aleatorio,D7,b,102954,0
QuickSort,100000,aleatorio,D7,b,11408,0
StdSort,100000,aleatorio,D7,b,9281,0
MergeSort,100000,aleatorio,D7,c,18244,0
PatienceSort,100000,aleatorio,D7,c,102690,0
QuickSort,100000,aleatorio,D7,c,10814,0
StdSort,100000,aleatorio,D7,c,9265,0
MergeSort,10000000,ascendente,D1,a,754105,16460
StdSort,10000000,ascendente,D1,a,129602,0
MergeSort,10000000,ascendente,D1,b,742998,0
StdSort,10000000,ascendente,D1,b,129347,0
MergeSort,10000000,ascendente,D1,c,746171,0
StdSort,10000000,ascendente,D1,c,130573,0
MergeSort,10000000,ascendente,D7,a,744567,0
StdSort,10000000,ascendente,D7,a,180636,0
MergeSort,10000000,ascendente,D7,b,745339,0
StdSort,10000000,ascendente,D7,b,180800,0
MergeSort,10000000,ascendente,D7,c,749812,0
StdSort,10000000,ascendente,D7,c,184501,0
MergeSort,10000000,descendente,D1,a,769386,0
StdSort,10000000,descendente,D1,a,134000,0
MergeSort,10000000,descendente,D1,b,742613,0
StdSort,10000000,descendente,D1,b,133052,0
MergeSort,10000000,descendente,D1,c,755458,0
StdSort,10000000,descendente,D1,c,132634,0
MergeSort,10000000,descendente,D7,a,830660,0
StdSort,10000000,descendente,D7,a,176441,0
MergeSort,10000000,descendente,D7,b,818379,0
StdSort,10000000,descendente,D7,b,168358,0
MergeSort,10000000,descendente,D7,c,822839,0
StdSort,10000000,descendente,D7,c,167097,0
MergeSort,10000000,aleatorio,D1,a,1209037,0
StdSort,10000000,aleatorio,D1,a,352019,0
MergeSort,10000000,aleatorio,D1,b,1224388,0
StdSort,10000000,aleatorio,D1,b,356733,0
MergeSort,10000000,aleatorio,D1,c,1228858,0
StdSort,10000000,aleatorio,D1,c,367615,0
MergeSort,10000000,aleatorio,D7,a,2431349,0
StdSort,10000000,aleatorio,D7,a,1309547,0
MergeSort,10000000,aleatorio,D7,b,2415935,0
StdSort,10000000,aleatorio,D7,b,1287739,0
MergeSort,10000000,aleatorio,D7,c,2437660,0
StdSort,10000000,aleatorio,D7,c,1341498,0
